simple_name,brain,heart,immune,intestine,kidney,liver,lung,muscle,pancreas,placenta,skin,stomach,adrenal,adipose,limb,testis
ZOOHAR.1,0.6983,0.0,0.0,0.0,0.6323,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0
ZOOHAR.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6523,0.0,0.0,0.0
ZOOHAR.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZOOHAR.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZOOHAR.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZOOHAR.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZOOHAR.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZOOHAR.8,0.9095,0.1,0.1,0.1,0.6323,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.4273,0.0,0.0,0.0
ZOOHAR.9,0.9447,0.9791,0.8603,0.978,0.8645,0.9413,0.9507,0.9265,0.9444,0.8235,0.9763,0.6571,0.9795,0.1,0.8875,0.55
ZOOHAR.10,0.3162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZOOHAR.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZOOHAR.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZOOHAR.13,0.1,0.1,0.1,0.0,0.1,0.4913,0.0,0.0,0.3222,0.1,0.0,0.0,0.0,0.0,0.0,0.0
ZOOHAR.14,0.8592,0.8535,0.7983,0.7915,0.8645,0.7065,0.8151,0.7245,0.7667,0.7529,0.3605,0.4429,0.775,0.1,0.0,0.0
ZOOHAR.15,0.6983,0.1,0.0,0.55,0.1,0.0,0.6301,0.0,0.3222,0.1,0.0,0.0,0.0,0.0,0.0,0.0
ZOOHAR.16,0.4369,0.1,0.0,0.3854,0.6323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
ZOOHAR.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZOOHAR.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZOOHAR.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZOOHAR.20,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZOOHAR.21,0.8391,0.686,0.3793,0.6707,0.8645,0.1,0.1,0.1,0.4556,0.5588,0.0,0.6571,0.6523,0.1,0.0,0.0
ZOOHAR.22,0.0,0.0,0.0,0.1,0.4484,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.6523,0.0,0.0,0.0
ZOOHAR.23,0.6983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
ZOOHAR.24,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5778,0.0,0.0,0.0,0.4273,0.1,0.0,0.0
ZOOHAR.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZOOHAR.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZOOHAR.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
