har_id,chrom,start,end,length,translated_category,nearest_gene,gene_dist,source,gBGC_flag,is_testis_positive_control,is_mpra_testis_validated
ZOOHAR.1,chr2,235865386,235865436,50,GBGC(hc),AGAP1,0,zooHAR_Keough2023,gBGC,False,False
ZOOHAR.2,chr13,72540830,72541395,565,,MZT1,166971,zooHAR_Keough2023,unannotated,False,False
ZOOHAR.3,chr5,77595138,77595554,416,"GBGC &
positive",MIR4454,0,zooHAR_Keough2023,gBGC+positive,False,False
ZOOHAR.4,chr6,141112898,141112955,57,,MIR4465,429015,zooHAR_Keough2023,unannotated,False,False
ZOOHAR.5,chr2,55106823,55107087,264,positive,RTN4,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.6,chr4,28059052,28059150,98,positive,MIR4275,760431,zooHAR_Keough2023,positive,False,False
ZOOHAR.7,chr14,37139043,37139438,395,positive,SLC25A21,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.8,chr11,114229056,114229464,408,GBGC(hc),ZBTB16,0,zooHAR_Keough2023,gBGC,False,True
ZOOHAR.9,chr20,675776,675964,188,GBGC(hc),SCRT2,0,zooHAR_Keough2023,gBGC,False,False
ZOOHAR.10,chr21,18026444,18026516,72,positive,CBS,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.11,chr12,23323847,23323911,64,positive,LOC101928441,132260,zooHAR_Keough2023,positive,False,False
ZOOHAR.12,chr1,36864061,36864180,119,positive,GRIK3,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.13,chr9,16708825,16709033,208,positive,BNC2,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.14,chr11,118929295,118929442,147,positive,BCL9L,3369,zooHAR_Keough2023,positive,False,False
ZOOHAR.15,chr16,80046114,80046205,91,positive,LOC102724084,109752,zooHAR_Keough2023,positive,False,False
ZOOHAR.16,chr5,44048380,44048462,82,positive,GUSBP1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.17,chr10,9200112,9200599,487,positive,LOC101928272,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.18,chr9,18717533,18717823,290,positive,ADAMTSL1,0,zooHAR_Keough2023,positive,False,False
ZOOHAR.19,chr7,1227712,1227836,124,positive,UNCX,5035,zooHAR_Keough2023,positive,False,False
ZOOHAR.20,chr5,37981454,37981607,153,positive,GUSBP1,0,zooHAR_Keough2023,positive,False,False
